Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737092,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375607069,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938916803,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376330407,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185579811,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022506458,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001128627064,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737084,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020859924,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021393405,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736939,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938799808,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938885810,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377940833,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020967731,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020967725,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151929030,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000062100195,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001187393590,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021130510,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736911,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020734337,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001145840983,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376057978,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938989227,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021408536,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021225333,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000494811204,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151923535,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001129962234,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021571432,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000253033261,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737090,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000023262978,Cluster 0
